Date,Location,Operator,Aboard,Fatalities,Summary
"Date:January 25, 2010","Location:Near Senador Jose Porfrio, Brazil",Operator:Piquiatuba Taxi Aereo,Aboard:10   (passengers:8  crew:2),Fatalities:2   (passengers:1  crew:1),"Summary:The commuter plane crashed while attempting to land, killing the captain and one passenger."
"Date:January 28, 2010","Location:Cotabato City, Philippines",Operator:Military - Philippine Air Force,Aboard:8   (passengers:6  crew:2),Fatalities:8   (passengers:6  crew:2),"Summary:While taking off, the crew experienced an engine fire and tried to make an emergency landing but crashed into a residential neighborhood."
"Date:February 14, 2010","Location:Near Saada, Yemen",Operator:Military - Yemeni Arm,Aboard:11   (passengers:9  crew:2),Fatalities:11   (passengers:9  crew:2),Summary:The helicopter crashed into a military vehicle shortly after taking off from the military airport carrying seven wounded soldiers and its crew of four soldiers. The accident was reported to have been caused by a technical fault.
"Date:April 10, 2010","Location:Smolensk, Russia",Operator:Military - Polish Air Force,Aboard:96   (passengers:88  crew:8),Fatalities:96   (passengers:88  crew:8),"Summary:The military jet crashed and was destroyed while attempting to land in dense fog and poor visibility. The crew requested permission to carry out a trial approach to a decision height of 100 m and told the controller to expect a go-around. A few seconds before impact, the autopilot and autothrottle were disconnected in order to execute a go-around. The airplane impacted upsloping terrain at a distance of about 1,100 meters from the runway and 40 m to the left of extended centerline. The immediate cause of the accident was the failure of the crew to make a timely decision to proceed to an alternate airport although they were not once timely informed of the actual weather conditions at Smolensk, which were significantly lower than the established airport minima. Descent without visual contact with ground references to an altitude much lower than minimum descent altitude for a go-around,  in order to establish visual flight. No reaction to the numerous TAWS warnings which led to controlled flight into terrain, aircraft destruction and death of the crew and passengers.  Polish president Lech Kaczynski and his wife were among the dead."
"Date:April 10, 2010","Location:Near Yelizovo, Russia",Operator:Kamchatka Airlines,Aboard:18   (passengers:15  crew:3),Fatalities:10   (passengers:8  crew:2),"Summary:The helicopter was flying German and Russian snowboarders during a showboarding tour when it crash, 67 km away from Yelizovo."
"Date:April 13, 2010","Location:Monterey, Mexico",Operator:Airborne Freight Company Union,Aboard:5   (passengers:0  crew:5),Fatalities:5   (passengers:0  crew:5),"Summary:The cargo plane was making a stop at Monterey on its way to Los Angeles when it crashed 1.5 km from the airport, while making a final approach to General Mariano Escobedo International Airport. The aircraft was cleared to land on Runway 11, when the crew decided to abort the landing. The plane then crashed onto Avenida Miguel Aleman roadway, striking a car and killing the driver. The plane then broke apart and burst into flames."
"Date:April 21, 2010","Location:Pampanga, Philippines",Operator:Interisland Airlines,Aboard:6   (passengers:0  crew:6),Fatalities:3   (passengers:0  crew:3),"Summary:An electrical fire forced the cargo plane's pilot to attempt an emergency landing in a rice field when the plane crashed, broke into pieces, and burst into flames."
"Date:May 12, 2010","Location:Tripoli, Libya",Operator:Afriqiyah Airways,Aboard:104   (passengers:93  crew:11),Fatalities:103   (passengers:92  crew:11),"Summary:The aircraft crashed and disintegrated one-half a mile from the runway while attempting to land at Tripoli International Airport. Ninety-two passenger and a crew of 11 were killed. A 8 year old Dutch boy was the sole survivor. Failure of the two pilots to coordinate their actions during the initial approach, with the final approach attempted below the minimum descent altitude and the runway not visible. Realizing that the approach had been misjudged, the co-pilot, who was in command, attempted to pull the plane up in order to perform a new landing, which disabled the auto pilot, but the captain had retaken control of the aircraft without informing his co-pilot, leading to the crash. Lack of coordination between the two pilots and the inappropriate application of flight control inputs during the attemped go-around. The length of the trip and crew fatigue was a factor."
"Date:May 15, 2010","Location:Near Poeketi, Suriname",Operator:Blue Wings Airlines,Aboard:8   (passengers:6  crew:2),Fatalities:8   (passengers:6  crew:2),"Summary:The plane crashed during poor weather into a forest ,10 minutes after taking off from Godo Olo Air Strip."
"Date:May 17, 2010","Location:Salang pass, Afghanistan",Operator:Pamir Airlines,Aboard:44   (passengers:38  crew:6),Fatalities:44   (passengers:38  crew:6),"Summary:The plane crashed in Salang pass, 60 miles north of Kabul. Weather was poor in the general area. It was reported that an early ground proximity warning system was misunderstood by the crew, either due to language problems or because of previous false alerts"
"Date:May 22, 2010","Location:Mangalore, India",Operator:Air India Express,Aboard:166   (passengers:160  crew:6),Fatalities:159   (passengers:153  crew:6),"Summary:While attempting to land at Mangalore Airport, the plane overran the runway, slid down a ravine into a wooded valley, and burst into flames. Despite being warned by the aircraft computers to ""pull up, the captain did not heed the warning. He also ignored the co-pilot telling him to go-around,"
"Date:June 19, 2010","Location:Yangadou, Cameroon",Operator:Aero Service,Aboard:11   (passengers:9  crew:2),Fatalities:11   (passengers:9  crew:2),Summary:The plane crashed in a remote area on the Cameroon / Congo border. The plane was carrying executives of the mining company Sundance Resources.
"Date:June 23, 2010","Location:Quebec, Canada",Operator:Aropro,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:The pilot reported a problem with his right engine after take off and tried to return for an emergency landing but crashed into a private field and exploded, approximately 1 mile north of Jean-Lesage International Airport. The aircraft took off with reduced engine power not recommended by the manufacturer. Once the right engine stopped working, the pilots didn't rotate the engine's blades to be parallel with the flow of air, a procedure called feathering that helps to reduce drag. The crew were not properly trained for emergencies, and mechanical defects were not being logged. The companys license was revoked."
"Date:July 05, 2010","Location:Tuzla, Romania",Operator:Military - Romainian Air Force,Aboard:14   (passengers:10  crew:4),Fatalities:12   (passengers:?  crew:3),"Summary:The military plane, on parachuting training flight, crashed 2 km from the airport  into a field shortly after taking off. Operational errors upon take-off most likely caused the accident."
"Date:July 28, 2010","Location:Islamabad, Pakistan",Operator:Airblue,Aboard:152   (passengers:146  crew:6),Fatalities:152   (passengers:146  crew:6),"Summary:The passenger plane crashed in the Margalla hills while attempting to land at Benazir Bhutto International Airport. The tower lost contact with the plane as it was about to land in poor weather conditions. Controlled Flight into Terrain, in which aircrew failed to display superior judgment and professional skills in a self created unsafe environment. In their pursuit to land in inclement weather, they committed serious violations of procedures and breaches of flying discipline, which put the aircraft in an unsafe condition over dangerous terrain at low altitude."
"Date:July 28, 2010","Location:Near Elmendorf AFB, Alaska",Operator:Military - US Air Force,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),"Summary:The cargo plane took off from runway 6 to practice for upcoming maneuvers. After the initial climb, the pilot made a sharp right turn. As the aircraft banked, the stall warning system activated . Instead of implementing stall recovery procedures, the pilot continued the turn as planned and the aircraft entered a stall from which recovery was not possible. The aircraft impacted a wooded area northwest of the airfield."
"Date:August 01, 2010","Location:Near Denali National Park, Alaska",Operator:All West Freight,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:The cargo plane crashed into Mount Healy while en route. The pilot's failure to maintain adequate airspeed to avoid a low altitude stall, resulting in a loss of control and collision with terrain."
